title,id,activity,creation,status
Move the buildslave setup information from the wiki to the devguide,24440,2015-07-21.13:19:05,2015-06-12.16:03:59,1
CJK support for textwrap,24665,2015-07-21.12:42:58,2015-07-19.02:44:39,1
precise time.time() under Windows 8: use GetSystemTimePreciseAsFileTime,19007,2015-07-21.10:50:56,2013-09-12.19:44:34,1
"Add the ""htmlcharrefreplace"" error handler",19667,2015-07-21.10:43:55,2013-11-20.18:19:35,1
Turn SIG_DFL and SIG_IGN into functions,23325,2015-07-21.08:13:33,2015-01-26.20:38:30,1
int.from_bytes() is broken for subclasses,23640,2015-07-21.08:12:49,2015-03-11.13:34:36,1
Find a way to detect incorrectly skipped tests,18968,2015-07-21.08:11:36,2013-09-08.03:05:34,1
"zipfile: add ""unicode"" option to the force the filename encoding to UTF-8",10972,2015-07-21.08:11:16,2011-01-21.12:00:43,1
zipfile: allow surrogates in filenames,16310,2015-07-21.08:10:54,2012-10-24.12:33:45,1
add inspect functions to retrieve attributes from both old dir() and overridden dir(),19239,2015-07-21.08:08:15,2013-10-12.22:35:29,1
Simplify per-instance control of help() output,19404,2015-07-21.08:07:37,2013-10-26.07:22:18,1
** operator does not overflow to inf,20543,2015-07-21.08:06:56,2014-02-07.18:44:35,1
"include the ""object"" type in the lists of documented types",16508,2015-07-21.08:05:49,2012-11-19.00:14:41,1
ZipFile: add a filename_encoding argument,10614,2015-07-21.08:05:19,2010-12-03.07:41:56,1
"type(name, bases, dict) does not call metaclass' __prepare__ attribute",18334,2015-07-21.08:02:41,2013-07-01.01:12:18,1
Implement PEP 422: Simple class initialisation hook,17044,2015-07-21.08:01:18,2013-01-26.21:29:18,1
Drop restriction that meta.__prepare__() must return a dict (subclass),17421,2015-07-21.08:00:58,2013-03-14.20:20:27,1
type() constructor should bind __int__ to __index__ when __index__ is defined and __int__ is not,20092,2015-07-21.07:58:21,2013-12-28.19:56:32,1
IDLE should start with HOME as the initial working directory,22121,2015-07-21.07:58:03,2014-08-02.07:53:51,1
2.7 json encoding broken for enums,22297,2015-07-21.07:57:34,2014-08-29.11:00:34,1
Enhance Object/structseq.c to match namedtuple and tuple api,1820,2015-07-21.07:57:10,2008-01-14.04:20:27,1
`help` ignores `__doc__` of descriptors,22656,2015-07-21.07:56:45,2014-10-17.13:15:04,1
improve  'python -h' documentation for '-c',22738,2015-07-21.07:56:20,2014-10-27.04:39:46,1
some class attributes missing from dir(Class),22790,2015-07-21.07:47:20,2014-11-04.08:44:04,1
Recursive OrderedDict pickling,17900,2015-07-21.07:45:15,2013-05-03.19:40:16,1
regrtest: add switch -c to run only modified tests,22806,2015-07-21.07:44:04,2014-11-06.14:59:16,1
Re: SSLsocket.getpeercert - return ALL the fields of the certificate.,22873,2015-07-21.07:43:34,2014-11-14.18:03:26,1
document behavior of calling atexit.register() while atexit._run_exitfuncs is running,22867,2015-07-21.07:43:20,2014-11-13.20:52:37,1
Only READ support for Decimal in json,23123,2015-07-21.07:40:49,2014-12-27.17:10:51,1
Blacklist FunctionTestCase from test discovery,22680,2015-07-21.07:40:27,2014-10-20.17:14:21,1
Improve docs for DynamicClassAttribute,20773,2015-07-21.07:37:28,2014-02-25.21:12:29,1
language reference should specify restrictions on class namespace,17422,2015-07-21.07:36:01,2013-03-14.20:33:35,1
Catching virtual subclasses in except clauses,12029,2015-07-21.07:35:35,2011-05-08.08:53:43,1
Windows (Vista/7) install error when choosing to compile .py files,8075,2015-07-21.07:35:13,2010-03-05.23:43:40,1
Deprecate the frame hack for implicitly getting module details,17963,2015-07-21.07:34:48,2013-05-12.13:09:13,1
PyNumber_Index() is not int-subclass friendly (or operator.index() docos lie),17576,2015-07-21.07:29:34,2013-03-29.22:25:11,1
"file iterator ""deemed broken""; can resume after StopIteration",23455,2015-07-21.07:29:07,2015-02-12.18:48:54,1
Be clear that __prepare__ must be declared as a class method,17352,2015-07-21.07:27:01,2013-03-04.15:11:32,1
