title,id,activity,creation,status
sqlite3.InterfaceError after commit,10513,2015-03-06.23:40:25,2010-11-23.12:35:31,1
sqlite3 COMMIT nested in SELECT returns unexpected results,23129,2015-03-06.23:27:53,2014-12-29.17:11:18,1
urllib 'headers' is not a well defined data type,20911,2015-03-06.21:05:14,2014-03-13.15:27:34,1
setup.py: do not add invalid header locations,20211,2015-03-06.20:55:09,2014-01-09.23:02:08,1
Use specific asserts in threading tests,20556,2015-03-06.19:44:07,2014-02-07.21:34:38,1
Use specific asserts in io tests,20557,2015-03-06.19:31:06,2014-02-07.21:34:57,1
Redundant sentence in FAQ,23589,2015-03-06.16:00:33,2015-03-05.08:32:38,1
"SIGSEGV on interpreter shutdown, with daemon threads running wild",23592,2015-03-06.15:52:20,2015-03-05.19:56:55,1
Allow easy display of local variables in log messages?,23597,2015-03-06.02:27:44,2015-03-06.02:12:46,1
gzip argparse interface,23596,2015-03-06.02:22:24,2015-03-06.00:54:31,1
Use specific asserts in warnings and exceptions tests,20548,2015-03-06.02:21:05,2014-02-07.20:26:11,1
"Limit ""global"" keyword name conflicts in language spec to those enforced by CPython",14544,2015-03-05.10:03:11,2012-04-11.04:46:30,1
asyncio: use the new traceback.TracebackException class,23587,2015-03-05.02:37:00,2015-03-05.02:33:28,1
Zipfile.extractall does not preserve file permissions,15795,2015-03-04.02:04:41,2012-08-27.22:36:03,1
struct.pack error messages do not indicate which argument was invalid,23578,2015-03-03.23:04:35,2015-03-03.17:03:05,1
Importing readline produces erroneous output,19884,2015-03-03.17:25:30,2013-12-04.12:06:16,1
"Use -Wl,--dynamic-list=x.list, not -Xlinker -export-dynamic",10112,2015-03-03.13:35:18,2010-10-15.10:16:24,1
Patch fixing sanity check for ordered fd sequence in _posixsubprocess.c,23564,2015-03-03.07:34:45,2015-03-02.16:50:12,1
os.stat() tuple access vs named attribute access int vs float,23567,2015-03-03.02:38:50,2015-03-03.01:16:10,1
local_clear walks the list of threads without holding head_lock.,23565,2015-03-02.19:45:23,2015-03-02.19:45:23,1
Delete Misc/*.wpr files,23469,2015-03-02.18:46:54,2015-02-16.00:59:02,1
Changing cls.__bases__ must ensure proper metaclass inheritance,21919,2015-03-02.18:24:58,2014-07-04.20:45:25,1
_msi.c warnings under 64-bit Windows,9784,2015-03-02.15:53:25,2010-09-06.12:55:41,1
tokenize.generate_tokens treat '\f' symbol as the end of file (when reading in unicode),19035,2015-03-02.14:27:38,2013-09-16.14:12:54,1
No facility for test randomisation,22813,2015-03-02.08:40:31,2014-11-07.10:05:59,1
google thinks the docs are mobile unfriendly,23312,2015-03-02.08:16:32,2015-01-24.17:42:05,1
webbrowser module broken with Firefox 36+,23262,2015-03-02.08:06:38,2015-01-18.04:16:56,1
optimize sort_keys in json module by using operator.itemgetter(),23493,2015-03-02.07:58:25,2015-02-20.16:25:56,1
Reduce the number of comparisons for range checking.,23553,2015-03-02.04:13:50,2015-03-01.00:50:38,1
ntpath.abspath fails for long str paths,4071,2015-03-02.02:47:22,2008-10-08.00:27:14,1
codecs.charmap_build is untested and undocumented,3931,2015-03-02.02:36:05,2008-09-22.12:06:14,1
cPickle module doesn't work with universal line endings,1724366,2015-03-02.01:47:14,2007-05-23.16:42:24,1
Inconsistent behavior of IOBase methods on closed files,18082,2015-03-02.01:41:52,2013-05-28.16:31:28,1
Error EBADF in test_urllibnet,12137,2015-03-01.23:55:55,2011-05-21.16:34:13,1
Document changes in asynchat,6911,2015-03-01.23:53:28,2009-09-14.15:26:58,1
Consistently handle path separator in Py_GetPath on Windows,12989,2015-03-01.23:17:21,2011-09-16.00:08:15,1
"test_time fails: strftime('%Y', y) for negative year",13312,2015-03-01.23:07:52,2011-11-01.16:52:38,1
normpath does not work with local literal paths,15286,2015-03-01.22:22:22,2012-07-07.16:47:21,1
memoryview() constructor documentation error,20408,2015-03-01.19:13:55,2014-01-27.11:53:11,1
test_support.find_unused_port can cause socket conflicts on Windows,8576,2015-03-01.17:28:57,2010-04-30.09:18:02,1
Make custom xmlrpc extension easier,6701,2015-03-01.17:04:27,2009-08-14.09:03:47,1
Re-enable test_modules_search_builtin() in test_pydoc,20128,2015-03-01.13:35:26,2014-01-05.07:10:27,1
Misc/SpecialBuilds.txt contains outdated information about PYMALLOC_DEBUG,23557,2015-03-01.12:17:22,2015-03-01.12:17:22,1
EchoServerClientProtocol class should be called EchoServerProtocol,23554,2015-03-01.05:59:32,2015-03-01.05:59:32,1
IDLE hangs when selecting Stack View with debug active,23544,2015-02-28.19:44:52,2015-02-27.21:25:35,1
Document multiprocessing.pool.ThreadPool,17140,2015-02-28.15:42:58,2013-02-06.02:08:05,1
Android's incomplete locale.h implementation prevents cross-compilation,20305,2015-02-28.14:24:13,2014-01-19.18:13:22,1
Fix codecs.iterencode/decode() by allowing data parameter to be omitted,23231,2015-02-28.13:37:26,2015-01-13.12:48:19,1
Add disable_interspersed_args() to argparse.ArgumentParser,13966,2015-02-28.13:35:25,2012-02-08.07:49:27,1
Clarify max_length and flush() for zlib decompression,23200,2015-02-28.12:08:49,2015-01-09.01:26:21,1
Maybe can not shutdown ThreadPoolExecutor when call the method of shutdown,23382,2015-02-28.07:05:26,2015-02-03.08:20:03,1
"isbuiltin, isroutine, etc.",23525,2015-02-28.05:51:26,2015-02-26.06:03:25,1
Document how to close the TCPServer listening socket,23254,2015-02-28.05:48:30,2015-01-17.04:32:54,1
encoding error trying to save string to file,23543,2015-02-27.23:19:16,2015-02-27.21:13:19,1
New Windows installer in 3.5.0a1 breaks compatibility with Wine,23538,2015-02-27.23:19:13,2015-02-27.17:28:47,1
"test_os failed (python-3.4.3, Linux SuSE)",23520,2015-02-27.21:40:55,2015-02-25.13:30:03,1
"add example of 'first match wins' to regex ""|""  documentation?",23532,2015-02-27.19:18:42,2015-02-26.22:55:54,1
Proposal for asyncio: SubprocessTransport.detach() to detach a process from a transport,23540,2015-02-27.18:11:10,2015-02-27.18:11:10,1
StringIO.StringIO pickled in 2.7 is not unpickleable on 3.x,22890,2015-02-27.17:20:16,2014-11-17.07:41:25,1
`test_longdouble` fails on Mac when using system libffi (version 3.1),23534,2015-02-27.15:25:21,2015-02-27.06:57:30,1
datetime.isoformat() -> explicitly mark UTC string as such,23332,2015-02-27.15:22:45,2015-01-27.17:37:29,1
Allow copying of CodecInfo objects,21944,2015-02-27.14:53:30,2014-07-09.11:52:09,1
RuntimeError caused by lazy imports in pdb,20703,2015-02-27.09:39:51,2014-02-20.16:47:20,1
Improve invalid category exception for warnings.filterwarnings,21865,2015-02-26.23:00:05,2014-06-25.00:06:37,1
warnings in interactive sessions,1539925,2015-02-26.21:07:12,2006-08-14.11:03:41,1
Reject embedded null characters in wchar* strings,13617,2015-02-26.19:21:59,2011-12-17.03:53:41,1
IPv6 support for logging.handlers,14855,2015-02-26.16:51:07,2012-05-19.09:49:33,1
difflib.SequenceMatcher has slightly buggy and undocumented caching behavior,9985,2015-02-26.08:20:06,2010-09-29.14:32:17,1
multiprocessing bug SyncManager and 'with',23510,2015-02-26.06:13:36,2015-02-24.13:27:54,1
https://docs.python.org/2/library/multiprocessing.html#process-and-exceptions doesn't explain exception,21889,2015-02-26.02:19:05,2014-06-30.22:00:38,1
"test_strftime: enormous allocation, fails under Clang sanitizer",20936,2015-02-26.00:39:47,2014-03-15.16:45:02,1
pip: urllib3 does not encode userinfo section of URL with authentication credentials,23516,2015-02-25.23:18:17,2015-02-24.21:58:00,1
Uninformative error message in multiprocessing.Manager(),21201,2015-02-25.21:38:14,2014-04-11.17:20:20,1
"Add example to tutorial namespace doc, section 9.2",20683,2015-02-25.20:52:40,2014-02-19.08:27:32,1
Misleading note in Statistics module documentation,23522,2015-02-25.19:14:14,2015-02-25.18:40:46,1
Unclear behavior of daemon threads on main thread exit,13077,2015-02-25.17:25:02,2011-09-30.15:30:41,1
"Windows: support path longer than 260 bytes using ""\\?\"" prefix",18199,2015-02-25.17:23:22,2013-06-12.15:24:41,1
Backport Tools/clinic to 3.4,23283,2015-02-25.15:35:05,2015-01-20.20:30:22,1
Update patchcheck to looks for files with clinic comments,20264,2015-02-25.15:33:37,2014-01-15.03:12:39,1
Document '/' in signatures,21314,2015-02-25.15:32:44,2014-04-20.10:07:19,1
"Argument Clinic: add ""nullable ints""",20341,2015-02-25.15:29:51,2014-01-22.03:18:01,1
Derby #17: Convert 49 sites to Argument Clinic across 13 files,20185,2015-02-25.15:29:41,2014-01-08.00:22:19,1
Derby #14: Convert 41 sites to Argument Clinic across 5 files,20183,2015-02-25.15:29:23,2014-01-08.00:18:09,1
Argument Clinic should understand *args and **kwargs parameters,20291,2015-02-25.15:29:05,2014-01-18.01:55:25,1
Derby #8: Convert 28 sites to Argument Clinic across 2 files,20177,2015-02-25.15:27:40,2014-01-07.23:49:34,1
Argument Clinic: add unsigned integers converters,20260,2015-02-25.15:26:22,2014-01-14.17:31:58,1
Argument Clinic included return converters hard code use of ``_return_value``,20461,2015-02-25.15:26:09,2014-01-31.17:28:47,1
No Argument Clinic documentation on how to specify a return converter,20459,2015-02-25.15:26:01,2014-01-31.16:21:42,1
"Argument Clinic: when cloning functions with path_t, path_t retains the old name",20432,2015-02-25.15:25:49,2014-01-29.05:26:03,1
Argument Clinic: add 'self' return converter,20410,2015-02-25.15:25:40,2014-01-27.18:30:18,1
Argument Clinic: Touch source file if any output file changed,20396,2015-02-25.15:25:31,2014-01-26.14:02:21,1
Argument Clinic: char convertor should use default values of type bytes,20304,2015-02-25.15:25:04,2014-01-19.15:51:05,1
Argument Clinic: compare signed and unsigned ints,20256,2015-02-25.15:24:44,2014-01-14.08:35:49,1
The Great Argument Clinic Conversion Derby Meta-Issue,20187,2015-02-25.15:24:15,2014-01-08.00:31:45,1
oss_audio_device.write(data) produces short writes,22094,2015-02-25.12:56:23,2014-07-28.10:29:20,1
Document & unittest the subprocess.getstatusoutput() status value,23508,2015-02-25.10:04:46,2015-02-24.08:56:18,1
Documentation for argparse interactive use,9938,2015-02-25.04:18:52,2010-09-24.14:31:29,1
csv.reader/writer to raise exception if mode is binary or newline is not '',10954,2015-02-24.23:43:05,2011-01-20.10:32:25,1
Compile fails when sizeof(wchar_t) == 1,12010,2015-02-24.21:26:05,2011-05-05.20:45:29,1
Support more of MSI api,12026,2015-02-24.21:21:12,2011-05-07.04:50:24,1
csv sniffer does not recognize quotes at the end of line,10515,2015-02-24.20:46:15,2010-11-23.17:55:40,1
difflib.unified_diff(...) produces invalid patches,2142,2015-02-24.20:26:42,2008-02-18.20:16:55,1
Fix/add unicode support in Cookie module?,11315,2015-02-24.20:13:36,2011-02-25.04:05:01,1
Implementation for PEP 451 (importlib.machinery.ModuleSpec),18864,2015-02-24.19:53:19,2013-08-28.06:56:18,1
Switch applicable importlib tests to use PEP 451 API,21099,2015-02-24.19:49:33,2014-03-29.21:34:35,1
add test for changed portions after reloading a namespace package,19711,2015-02-24.19:47:11,2013-11-22.16:47:07,1
multiprocessing documentation - little more examples for parallel computing,23514,2015-02-24.17:30:03,2015-02-24.17:12:19,1
"try/except block in ismethoddescriptor() in inspect.py, so that pydoc works with pygame in Python 3.2",14367,2015-02-24.13:43:43,2012-03-19.04:42:22,1
multiprocessing.Pool throws exception with __main__.py,10128,2015-02-24.10:06:23,2010-10-16.22:41:50,1
"mimetypes.guess_type(""//example.com"") misinterprets host name as file name",22347,2015-02-24.05:53:55,2014-09-06.02:52:37,1
Function calls taking a generator as star argument can mask TypeErrors in the generator,4806,2015-02-24.04:29:14,2009-01-02.12:46:02,1
undefined behavior in Objects/obmalloc.c,23503,2015-02-23.21:18:56,2015-02-23.21:18:56,1
smtplib.SMTP.sendmail: improve exception message,20482,2015-02-23.21:13:48,2014-02-02.02:41:27,1
Doctest should handle situations when test files are not readable,15178,2015-02-23.06:59:26,2012-06-25.11:01:44,1
Document that binary IO classes work with bytes-likes objects,20699,2015-02-23.04:37:52,2014-02-20.09:49:52,1
Support RFC 2392 in email package,626452,2015-02-23.04:29:13,2002-10-21.18:00:49,1
rlcompleter.Completer has duplicate matches,22143,2015-02-22.22:52:24,2014-08-05.16:13:15,1
rlcompleter.Completer matches too much,22141,2015-02-22.22:49:26,2014-08-05.15:59:59,1
Expose http.cookiejar.split_header_words(),23498,2015-02-22.18:55:44,2015-02-22.00:58:10,1
Missing the charset parameter in as_encoded_word(),23148,2015-02-21.15:59:58,2015-01-02.10:38:19,1
parser module docs missing second example,23322,2015-02-21.15:38:06,2015-01-26.07:31:16,1
xml.dom.minidom.Element.ownerDocument is hiden,23436,2015-02-21.15:04:19,2015-02-10.19:30:43,1
RFC6266 support (Content-Disposition for HTTP),23434,2015-02-21.14:47:13,2015-02-10.14:54:47,1
Possible error in _header_value_parser.py,23147,2015-02-21.14:39:52,2015-01-02.10:31:19,1
LZMADecompressor object is only initialized in __init__,23224,2015-02-21.10:03:13,2015-01-12.00:58:28,1
"argparse doesn't offer localization interface for ""version"" action",16786,2015-02-21.04:30:53,2012-12-26.13:19:58,1
‘tokenize.detect_encoding’ is confused between text and bytes: no ‘startswith’ method on a byte string,23297,2015-02-20.22:32:24,2015-01-22.04:40:26,1
Redefinition of HAVE_STRFTIME can cause compiler errors.,6820,2015-02-20.19:17:50,2009-09-02.09:39:44,1
Document parse_headers function of http.client,21257,2015-02-20.15:40:11,2014-04-16.16:44:59,1
Setup locales on buildbots,23472,2015-02-20.10:56:44,2015-02-17.14:43:48,1
float('nan') returns 0.0 on Python compiled with icc,21167,2015-02-20.00:26:28,2014-04-07.10:02:32,1
pathlib.owner() and pathlib.group() raise ImportError on Windows,20589,2015-02-19.18:23:33,2014-02-11.03:25:09,1
kill_python sometimes fails to kill processes on buildbots,10641,2015-02-19.16:23:24,2010-12-07.00:15:39,1
"test_popen fails on Windows if installed to ""Program Files""",1559298,2015-02-19.02:16:23,2006-09-15.12:59:09,1
conflicting definition of ssize_t in pyconfig.h,11717,2015-02-19.02:09:56,2011-03-30.00:11:04,1
wsgiref.validate expects wsgi.input read to give exactly one arg,18610,2015-02-18.19:27:04,2013-07-31.22:48:21,1
Language reference is ambiguous regarding next() method lookup,5739,2015-02-18.18:12:38,2009-04-12.00:58:26,1
thread.get_ident() should return unsigned value,6532,2015-02-18.12:34:31,2009-07-21.14:25:21,1
Python should expose command when invoked with -c,23427,2015-02-18.06:06:51,2015-02-09.21:09:28,1
Use the monotonic clock for thread conditions on POSIX platforms,23428,2015-02-17.23:47:49,2015-02-09.21:34:27,1
Export readline forced_update_display,23067,2015-02-17.20:01:48,2014-12-16.19:29:14,1
"Windows getlocale unix-like with french, german, portuguese, spanish",23425,2015-02-17.10:35:52,2015-02-09.20:55:10,1
Not so correct error message when initializing Struct with ill argument,19985,2015-02-16.22:06:14,2013-12-15.09:28:50,1
argparse docs: '7'.split() is confusing magic,20598,2015-02-16.21:00:55,2014-02-11.15:28:25,1
Optimize selectors.EpollSelector.modify(),18932,2015-02-16.19:31:27,2013-09-05.11:01:54,1
OpenBSD buildbot uses wrong stdlib,23470,2015-02-16.08:18:36,2015-02-16.08:18:36,1
Remove long-time deprecated attributes from smtpd,22071,2015-02-16.06:10:13,2014-07-25.16:51:37,1
UnicodeDecodeError in ntpath.py when home dir contains non-ascii signs,20140,2015-02-15.23:51:18,2014-01-06.10:43:51,1
asyncio: support multiprocessing (support fork),22087,2015-02-15.20:19:43,2014-07-26.18:01:10,1
Type handling policy for the statistics module,20575,2015-02-15.16:09:18,2014-02-09.13:29:43,1
fcntl_ioctl still not 100% sane with unsigned longs,16124,2015-02-15.10:00:39,2012-10-04.03:46:54,1
Memory leaks when embedded interpreter is reinitialized,21387,2015-02-15.05:51:28,2014-04-29.11:55:37,1
"Optimize BytesIO to do  less reallocations when written, similarly to StringIO",15381,2015-02-14.23:44:13,2012-07-17.12:12:45,1
msilib Directory.start_component() fails if keyfile is not None,12639,2015-02-14.23:29:26,2011-07-25.16:23:26,1
msilib VT_EMPTY SummaryInformation properties raise an error (suggest returning None),12239,2015-02-14.23:13:55,2011-06-02.14:13:43,1
python -m cProfile -s fails with non informative message,23420,2015-02-14.18:39:44,2015-02-09.12:05:42,1
"seek(count, whence) accepts bogus whence on windows, python2.7",23414,2015-02-14.18:19:33,2015-02-08.21:38:58,1
interning and list comprehension leads to unexpected behavior,23406,2015-02-14.17:55:16,2015-02-07.12:55:26,1
All os.exec*e variants crash on Windows,23462,2015-02-14.15:41:31,2015-02-14.08:45:26,1
IndexError from ipaddress._BaseNetwork.__getitem__ has no message,20508,2015-02-14.14:18:26,2014-02-04.13:09:31,1
missing test for issue 22457 regression commit,22794,2015-02-14.10:28:30,2014-11-04.15:03:57,1
OpenBSD: Merge patches,20657,2015-02-14.09:10:58,2014-02-17.12:13:27,1
Built-in module _io can loose data from buffered files at exit,17852,2015-02-13.22:58:43,2013-04-27.07:33:30,1
wsgiref.simple_server.demo_app is not PEP-3333 compatible,17349,2015-02-13.19:59:08,2013-03-04.12:27:33,1
PATCH as valid request method in wsgiref.validator,17527,2015-02-13.19:26:11,2013-03-23.10:23:37,1
Better error messages for wsgiref validator failures,14652,2015-02-13.19:23:25,2012-04-23.17:48:02,1
unable to discover preferred HTTPConnection class,17229,2015-02-13.17:54:39,2013-02-18.21:21:11,1
Add pgen.vcxproj to allow regenerating grammar files on Windows,21107,2015-02-13.16:18:01,2014-03-31.04:04:19,1
global .pdbrc on windows 7 not reachable out of the box,20523,2015-02-13.16:14:05,2014-02-05.21:57:33,1
Compilation warnings under x64 Windows,9566,2015-02-13.16:07:52,2010-08-10.23:59:44,1
Persistent id in pickle with protocol version 0,17711,2015-02-13.08:32:15,2013-04-13.11:41:49,1
--libs is inconsistent for python-config --libs and pkgconfig python --libs,15590,2015-02-13.05:00:37,2012-08-08.10:43:17,1
Alternative async subprocesses (pep 3145),17986,2015-02-13.01:53:32,2013-05-15.21:09:59,1
urllib2 needs to remove scope from IPv6 address when creating Host header,23448,2015-02-13.01:27:08,2015-02-11.18:40:23,1
"doctest ignores ""from __future__ import print_function""",23043,2015-02-13.01:26:02,2014-12-12.21:28:18,1
os.popen & os.system lack shell-related security warnings,21557,2015-02-13.01:25:53,2014-05-22.21:33:48,1
urllib gives incorrect url after open when using HTTPS,22946,2015-02-13.01:25:43,2014-11-26.10:37:27,1
"IncompleteRead error with urllib2 or urllib.request -- fine with urllib, wget, or curl",14044,2015-02-13.01:25:29,2012-02-17.17:36:16,1
Allow better verbosity / output control in test cases,22197,2015-02-13.01:25:19,2014-08-14.15:39:01,1
xmlrpc client transport and threading problem,14301,2015-02-13.01:25:10,2012-03-14.14:34:17,1
xmlrpclib leaves connection in broken state if server returns error without content-length,14414,2015-02-13.01:25:02,2012-03-26.16:14:24,1
urllib2 Digest Authorization uri must match request URI,8843,2015-02-13.01:24:51,2010-05-28.11:33:17,1
"urllib2 forces title() on header names, breaking some requests",12455,2015-02-13.01:22:50,2011-06-30.19:23:38,1
PosixPath() constructor should not accept strings with embedded NUL bytes,22147,2015-02-13.01:22:24,2014-08-05.19:44:08,1
Define PY_UINT64_T on Windows 32bit,19433,2015-02-13.00:32:32,2013-10-29.13:50:22,1
super behaviour and abstract base classes (either implementation or documentation/error message is wrong),20503,2015-02-12.19:28:51,2014-02-03.15:36:42,1
http.server doesn't set all CGI environment variables,10486,2015-02-12.16:26:39,2010-11-21.07:41:33,1
locale.getlocale() fails if locale name doesn't include encoding,20088,2015-02-12.15:35:47,2013-12-28.09:44:02,1
test_strptime fails on rhel/centos/fedora systems,21874,2015-02-12.14:46:44,2014-06-26.23:45:45,1
windows python launcher should support explicit 64-bit version,20391,2015-02-12.14:09:55,2014-01-25.16:18:17,1
Improve the way abstract base classes are shown in help(),17306,2015-02-12.12:29:12,2013-02-27.02:29:09,1
-Wstrict-overflow findings,20947,2015-02-12.12:18:27,2014-03-16.17:39:57,1
Opening a stream with tarfile.open() triggers a TypeError: can't concat bytes to str error,23453,2015-02-12.11:30:06,2015-02-12.11:19:58,1
msilib: can't close opened database,20486,2015-02-12.11:27:04,2014-02-02.15:37:29,1
[backport] ssl.MemoryBIO,22559,2015-02-12.08:06:49,2014-10-05.20:25:55,1
ssl.enum_certificates() will not return all certificates trusted by Windows,20916,2015-02-12.07:09:20,2014-03-13.19:48:21,1
Fatal errors rebuilding 3.5 from Visual Studio Windows 8.1 64 bit,23449,2015-02-12.06:25:20,2015-02-11.23:11:09,1
mailbox.Maildir should ignore files named with a leading dot,21360,2015-02-12.06:06:55,2014-04-26.22:06:43,1
Add autocompletion for keys in dictionaries,10351,2015-02-12.05:08:45,2010-11-08.09:22:36,1
Finding the Windows version getting messier (detect windows 8.1?),19143,2015-02-12.01:46:12,2013-10-02.00:50:04,1
datetime.datetime.replace bypasses a subclass's __new__,20371,2015-02-11.22:19:31,2014-01-23.19:47:24,1
cross-compilation of Python3.4,22699,2015-02-11.17:29:33,2014-10-22.15:49:06,1
HCI Bluetooth socket bind error on an arm crosscompiled environment,23444,2015-02-11.16:05:05,2015-02-11.15:50:15,1
XMLRPCLIB Exception uses str not class or instance,23443,2015-02-11.14:19:22,2015-02-11.14:19:22,1
sys.exit() called from threads other than the main one: undocumented behaviour,6634,2015-02-11.13:09:40,2009-08-03.19:21:49,1
Tab-completion of callables displays opening paren,14782,2015-02-11.10:56:25,2012-05-11.12:16:25,1
Hardcoded namespace_separator in the cElementTree.XMLParser,8583,2015-02-11.04:06:48,2010-04-30.22:57:27,1
ElementTree -- provide a way to ignore namespace in tags and seaches,18304,2015-02-11.04:05:25,2013-06-26.03:48:17,1
Idle Application Not Responding,23431,2015-02-11.03:09:23,2015-02-10.07:09:16,1
tarfile doesn't support multistream bzipped tar files,13407,2015-02-10.09:12:41,2011-11-15.10:29:20,1
urllib2 does not correctly handle multiple	www-authenticate headers in an HTTP response,13323,2015-02-10.06:39:27,2011-11-02.16:06:05,1
Make urllib.parse.SplitResult etc arguments optional,23416,2015-02-10.05:05:45,2015-02-09.04:03:57,1
run_setup is broken in distutils,23426,2015-02-10.00:17:30,2015-02-09.21:06:45,1
test_win32 fails on aarch64,23249,2015-02-09.22:19:10,2015-01-16.09:41:23,1
os.utime(path_to_directory): wrong documentation for Windows.,20709,2015-02-09.21:23:14,2014-02-20.22:57:35,1
XPath Support in ElementTree doc omission,23423,2015-02-09.19:39:39,2015-02-09.19:39:39,1
glob.glob inconsistent,1776674,2015-02-09.17:40:03,2007-08-18.00:14:50,1
os.path.realpath on Windows does not follow symbolic links,9949,2015-02-09.15:38:09,2010-09-25.15:03:13,1
FD leak in SocketServer when request handler throws exception,1429,2015-02-09.10:48:57,2007-11-12.12:27:33,1
abort when passing certain structs by value using ctypes,22273,2015-02-09.10:22:10,2014-08-25.17:33:22,1
urlparse.urlsplit confused to fragment when password include #,18140,2015-02-09.04:24:32,2013-06-05.09:45:03,1
host and port attributes not documented well in function urllib.parse.urlparse and urlsplit,10697,2015-02-09.03:27:48,2010-12-13.20:17:18,1
urlparse - relative url parsing and joins to be RFC3986 compliance,3647,2015-02-09.00:10:27,2008-08-22.12:54:33,1
printf %qd is nonstandard,10320,2015-02-08.20:19:41,2010-11-05.08:38:07,1
Add half-float (16-bit) support to struct module,11734,2015-02-08.11:11:01,2011-04-01.01:00:15,1
"""pydoc -p"" should listen to [::] if IPv6 is supported",3213,2015-02-08.10:43:16,2008-06-27.00:11:28,1
os.walk always follows Windows junctions,23407,2015-02-07.23:36:37,2015-02-07.20:59:23,1
freeze.py not working properly with OS X framework builds,21502,2015-02-07.15:33:25,2014-05-14.00:11:32,1
"shelve.open fails with error ""anydbm.error: db type could not be determined""",23174,2015-02-07.13:58:17,2015-01-06.00:05:22,1
"Tools/freeze ""make"" gets missing file error with unix shared builds",23405,2015-02-07.10:48:02,2015-02-07.10:48:02,1
'make touch' does not work with git clones of the source repository,23404,2015-02-07.07:08:18,2015-02-06.22:46:05,1
Use pickle protocol 4 by default?,23403,2015-02-07.04:15:31,2015-02-06.21:28:18,1
Properly codesign Mac python 2.7.9.pkg so it can work thru OS X firewall,23117,2015-02-07.03:48:46,2014-12-26.23:03:04,1
Errors in documentation of standard codec error handlers,20413,2015-02-07.00:01:07,2014-01-27.20:41:06,1
Add pickle support of Mapping views,23401,2015-02-06.18:57:34,2015-02-06.09:58:55,1
sys.argv contains only scriptname,7936,2015-02-06.18:47:38,2010-02-15.19:07:18,1
dynload_shlib does not close ldl handles when the interpreter is shut down,23402,2015-02-06.18:21:40,2015-02-06.18:21:40,1
Key presses are doubled in Tkinter dialog invoked from window close handler with Cocoa Tk,23128,2015-02-06.16:32:27,2014-12-29.16:34:22,1
ZipFile and current directory change,10631,2015-02-05.19:33:27,2010-12-05.16:49:18,1
col_offset is -1 and lineno is wrong for multiline string expressions,16806,2015-02-05.19:30:51,2012-12-29.00:08:22,1
"_thread.interrupt_main() errors if SIGINT handler in SIG_DFL, SIG_IGN",23395,2015-02-04.23:57:05,2015-02-04.23:50:50,1
No garbage collection at end of main thread,23394,2015-02-04.23:56:28,2015-02-04.21:42:16,1
Add pickle support of dict views,23264,2015-02-04.23:49:33,2015-01-18.08:11:56,1
pkgutil.find_loader raises an ImportError on PEP 420 implicit namespace packages,23389,2015-02-04.17:48:26,2015-02-03.17:55:40,1
selectors: towards uniform EBADF handling,19017,2015-02-04.16:48:35,2013-09-14.11:01:58,1
super() and property inheritance behavior,14965,2015-02-04.14:32:49,2012-05-31.03:04:00,1
distutils crashes when uploading to PyPI having only the username (no pw) defined,18454,2015-02-03.23:10:17,2013-07-14.17:24:48,1
general pprint rewrite,7434,2015-02-03.18:44:43,2009-12-04.16:32:41,1
datetime.strftime('%s') does not take timezone into account,23388,2015-02-03.17:19:20,2015-02-03.11:24:02,1
Thread.LockType is misnamed,23336,2015-02-03.03:16:31,2015-01-28.06:02:27,1
test_py3kwarn fails on Windows,23375,2015-02-02.18:23:20,2015-02-02.07:21:28,1
[IDLE/Windows] Run python with restricted rights,23337,2015-02-02.14:30:42,2015-01-28.10:24:42,1
"pyport.h FreeBSD/Mac OS X ""fix"" causes errors in C++ compilation",10910,2015-02-02.13:04:06,2011-01-14.21:21:37,1
Enable DEP and ASLR,16632,2015-02-02.11:24:26,2012-12-07.10:23:01,1
mimetypes initialization fails on Windows because of TypeError,23371,2015-02-01.19:22:39,2015-02-01.15:58:40,1
defaultdict.fromkeys should accept a callable factory,23372,2015-02-01.18:53:22,2015-02-01.16:19:44,1
distutils upload should prompt for the user/password too,5187,2015-02-01.13:44:54,2009-02-08.21:27:47,1
Improve socketserver doc,15608,2015-02-01.12:21:52,2012-08-09.19:44:26,1
Idle: Use inspect.signature for calltips,19903,2015-02-01.10:12:07,2013-12-06.00:21:46,1
"When adding .PY and .PYW to PATHEXT, it replaced string instead of appending",19955,2015-01-31.20:41:54,2013-12-11.23:07:27,1
Python 3.4 'repair' Windows installation does not install pip & setuptools packages,20983,2015-01-31.20:35:22,2014-03-19.16:59:28,1
Incorrect evaluation order of function arguments with *args,23316,2015-01-31.07:32:21,2015-01-25.15:46:56,1
time.time can return NaN,14613,2015-01-31.01:06:23,2012-04-18.12:26:27,1
Document 'from None' in raise statement doc.,17188,2015-01-31.00:57:01,2013-02-12.01:19:59,1
random module doc page has broken links,20169,2015-01-31.00:39:04,2014-01-07.22:53:10,1
Lack of pw_gecos field in Android's struct passwd causes cross-compilation for the pwd module to fail,20306,2015-01-30.22:42:38,2014-01-19.18:23:41,1
distutils.LooseVersion fails to compare number and a word,14894,2015-01-30.21:16:07,2012-05-23.20:42:29,1
Improve termcap detection in setup.py,23284,2015-01-30.15:21:32,2015-01-20.22:51:23,1
Optimize marshal format and add version token.,19256,2015-01-30.07:21:10,2013-10-13.22:30:08,1
io.BufferedReader.peek(): Documentation differs from Implementation,5811,2015-01-30.06:48:55,2009-04-22.06:15:51,1
